reporting_date,state,industry,turnover_millions
1/01/2010,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",16.2
1/01/2010,Tasmania ,Electrical and electronic goods retailing ,31.4
1/01/2010,Tasmania ,"Hardware, building and garden supplies retailing ",34.4
1/01/2010,Tasmania ,Household goods retailing ,82.0
1/01/2010,Tasmania ,Clothing retailing ,15.1
1/01/2010,Tasmania ,Footwear and other personal accessory retailing ,7.1
1/01/2010,Tasmania ,"Clothing, footwear and personal accessory retailing ",22.2
1/01/2010,Tasmania ,Newspaper and book retailing ,13.5
1/01/2010,Tasmania ,Other recreational goods retailing ,7.9
1/01/2010,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",22.9
1/01/2010,Tasmania ,"Cafes, restaurants and catering services ",20.2
1/01/2010,Tasmania ,Takeaway food services ,22.5
1/01/2010,Tasmania ,"Cafes, restaurants and takeaway food services ",42.8
1/01/2010,Northern Territory ,Supermarket and grocery stores ,83.2
1/01/2010,Northern Territory ,Food retailing ,89.0
1/01/2010,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",8.3
1/01/2010,Northern Territory ,Electrical and electronic goods retailing ,15.0
1/01/2010,Northern Territory ,"Hardware, building and garden supplies retailing ",15.0
1/01/2010,Northern Territory ,Household goods retailing ,38.3
1/01/2010,Northern Territory ,Clothing retailing ,5.9
1/01/2010,Northern Territory ,Footwear and other personal accessory retailing ,3.4
1/01/2010,Northern Territory ,"Clothing, footwear and personal accessory retailing ",9.3
1/01/2010,Northern Territory ,Newspaper and book retailing ,2.3
1/01/2010,Northern Territory ,Other recreational goods retailing ,5.2
1/01/2010,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",6.4
1/01/2010,Northern Territory ,"Cafes, restaurants and catering services ",10.5
1/01/2010,Northern Territory ,Takeaway food services ,14.2
1/01/2010,Northern Territory ,"Cafes, restaurants and takeaway food services ",24.7
1/01/2010,Australian Capital Territory ,Supermarket and grocery stores ,122.1
1/01/2010,Australian Capital Territory ,Liquor retailing ,11.1
1/01/2010,Australian Capital Territory ,Other specialised food retailing ,15.4
1/01/2010,Australian Capital Territory ,Food retailing ,148.7
1/01/2010,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",20.0
1/01/2010,Australian Capital Territory ,Electrical and electronic goods retailing ,35.8
1/01/2010,Australian Capital Territory ,"Hardware, building and garden supplies retailing ",23.5
1/01/2010,Australian Capital Territory ,Household goods retailing ,79.3
1/01/2010,Australian Capital Territory ,Clothing retailing ,17.1
1/01/2010,Australian Capital Territory ,Footwear and other personal accessory retailing ,10.2
1/01/2010,Australian Capital Territory ,"Clothing, footwear and personal accessory retailing ",27.3
1/01/2010,Australian Capital Territory ,Department stores ,29.8
1/01/2010,Australian Capital Territory ,Newspaper and book retailing ,8.1
1/01/2010,Australian Capital Territory ,Other recreational goods retailing ,10.8
1/01/2010,Australian Capital Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",11.9
1/01/2010,Australian Capital Territory ,Other retailing n.e.c. ,6.9
1/01/2010,Australian Capital Territory ,Other retailing ,37.8
1/01/2010,Australian Capital Territory ,"Cafes, restaurants and catering services ",27.8
1/01/2010,Australian Capital Territory ,Takeaway food services ,15.0
1/01/2010,Australian Capital Territory ,"Cafes, restaurants and takeaway food services ",42.8
1/02/2010,New South Wales ,Supermarket and grocery stores ,1817.4
1/02/2010,New South Wales ,Liquor retailing ,199.0
1/02/2010,New South Wales ,Other specialised food retailing ,215.5
1/02/2010,New South Wales ,Food retailing ,2231.9
1/02/2010,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",273.0
1/02/2010,New South Wales ,Electrical and electronic goods retailing ,392.7
1/02/2010,New South Wales ,"Hardware, building and garden supplies retailing ",272.6
1/02/2010,New South Wales ,Household goods retailing ,938.3
1/02/2010,New South Wales ,Clothing retailing ,244.7
1/02/2010,New South Wales ,Footwear and other personal accessory retailing ,182.4
1/02/2010,New South Wales ,"Clothing, footwear and personal accessory retailing ",427.1
1/02/2010,New South Wales ,Department stores ,354.1
1/02/2010,New South Wales ,Newspaper and book retailing ,103.1
1/02/2010,New South Wales ,Other recreational goods retailing ,74.6
1/02/2010,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",254.3
1/02/2010,New South Wales ,Other retailing n.e.c. ,240.0
1/02/2010,New South Wales ,Other retailing ,672.0
1/02/2010,New South Wales ,"Cafes, restaurants and catering services ",420.0
1/02/2010,New South Wales ,Takeaway food services ,346.0
1/02/2010,New South Wales ,"Cafes, restaurants and takeaway food services ",765.9
1/02/2010,Victoria ,Supermarket and grocery stores ,1484.4
1/02/2010,Victoria ,Liquor retailing ,117.1
1/02/2010,Victoria ,Other specialised food retailing ,149.9
1/02/2010,Victoria ,Food retailing ,1751.4
1/02/2010,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",225.1
1/02/2010,Victoria ,Electrical and electronic goods retailing ,318.7
1/02/2010,Victoria ,"Hardware, building and garden supplies retailing ",204.6
1/02/2010,Victoria ,Household goods retailing ,748.4
1/02/2010,Victoria ,Clothing retailing ,231.2
1/02/2010,Victoria ,Footwear and other personal accessory retailing ,136.3
1/02/2010,Victoria ,"Clothing, footwear and personal accessory retailing ",367.5
1/02/2010,Victoria ,Department stores ,261.3
1/02/2010,Victoria ,Newspaper and book retailing ,66.9
1/02/2010,Victoria ,Other recreational goods retailing ,72.5
1/02/2010,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",252.1
1/02/2010,Victoria ,Other retailing n.e.c. ,272.0
1/02/2010,Victoria ,Other retailing ,663.4
1/02/2010,Victoria ,"Cafes, restaurants and catering services ",336.0
1/02/2010,Victoria ,Takeaway food services ,275.4
1/02/2010,Victoria ,"Cafes, restaurants and takeaway food services ",611.4
1/02/2010,Queensland ,Supermarket and grocery stores ,1299.3
1/02/2010,Queensland ,Liquor retailing ,156.6
1/02/2010,Queensland ,Other specialised food retailing ,73.2
1/02/2010,Queensland ,Food retailing ,1529.1
1/02/2010,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",153.4
1/02/2010,Queensland ,Electrical and electronic goods retailing ,269.3
1/02/2010,Queensland ,"Hardware, building and garden supplies retailing ",187.4
1/02/2010,Queensland ,Household goods retailing ,610.1
1/02/2010,Queensland ,Clothing retailing ,128.9
1/02/2010,Queensland ,Footwear and other personal accessory retailing ,77.3
1/02/2010,Queensland ,"Clothing, footwear and personal accessory retailing ",206.2
1/02/2010,Queensland ,Department stores ,219.6
1/02/2010,Queensland ,Newspaper and book retailing ,90.4
1/02/2010,Queensland ,Other recreational goods retailing ,79.3
1/02/2010,Queensland ,"Pharmaceutical, cosmetic and toiletry goods retailing ",191.8
1/02/2010,Queensland ,Other retailing n.e.c. ,165.6
1/02/2010,Queensland ,Other retailing ,527.0
1/02/2010,Queensland ,"Cafes, restaurants and catering services ",237.6
1/02/2010,Queensland ,Takeaway food services ,198.9
1/02/2010,Queensland ,"Cafes, restaurants and takeaway food services ",436.5
1/02/2010,South Australia ,Supermarket and grocery stores ,441.4
1/02/2010,South Australia ,Liquor retailing ,35.2
1/02/2010,South Australia ,Other specialised food retailing ,48.9
1/02/2010,South Australia ,Food retailing ,525.5
1/02/2010,South Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",65.1
1/02/2010,South Australia ,Electrical and electronic goods retailing ,95.4
1/02/2010,South Australia ,"Hardware, building and garden supplies retailing ",70.4
1/02/2010,South Australia ,Household goods retailing ,230.9
1/02/2010,South Australia ,Clothing retailing ,55.8
1/02/2010,South Australia ,Footwear and other personal accessory retailing ,28.4
1/02/2010,South Australia ,"Clothing, footwear and personal accessory retailing ",84.2
1/02/2010,South Australia ,Department stores ,90.5
1/02/2010,South Australia ,Newspaper and book retailing ,26.5
1/02/2010,South Australia ,Other recreational goods retailing ,21.3
1/02/2010,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",84.5
1/02/2010,South Australia ,Other retailing n.e.c. ,61.5
1/02/2010,South Australia ,Other retailing ,193.8
1/02/2010,South Australia ,"Cafes, restaurants and catering services ",78.2
1/02/2010,South Australia ,Takeaway food services ,54.2
1/02/2010,South Australia ,"Cafes, restaurants and takeaway food services ",132.4
1/02/2010,Western Australia ,Supermarket and grocery stores ,658.3
1/02/2010,Western Australia ,Liquor retailing ,94.6
1/02/2010,Western Australia ,Other specialised food retailing ,57.5
1/02/2010,Western Australia ,Food retailing ,810.4
1/02/2010,Western Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",104.1
1/02/2010,Western Australia ,Electrical and electronic goods retailing ,147.5
1/02/2010,Western Australia ,"Hardware, building and garden supplies retailing ",95.4
1/02/2010,Western Australia ,Household goods retailing ,347.0
1/02/2010,Western Australia ,Clothing retailing ,72.0
1/02/2010,Western Australia ,Footwear and other personal accessory retailing ,62.7
1/02/2010,Western Australia ,"Clothing, footwear and personal accessory retailing ",134.7
1/02/2010,Western Australia ,Department stores ,126.8
1/02/2010,Western Australia ,Newspaper and book retailing ,34.5
1/02/2010,Western Australia ,Other recreational goods retailing ,42.6
1/02/2010,Western Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",95.4
1/02/2010,Western Australia ,Other retailing n.e.c. ,70.3
1/02/2010,Western Australia ,Other retailing ,242.8
1/02/2010,Western Australia ,"Cafes, restaurants and catering services ",161.7
1/02/2010,Western Australia ,Takeaway food services ,102.9
1/02/2010,Western Australia ,"Cafes, restaurants and takeaway food services ",264.6
1/02/2010,Tasmania ,Supermarket and grocery stores ,145.4
1/02/2010,Tasmania ,Food retailing ,172.4
1/02/2010,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",18.0
1/02/2010,Tasmania ,Electrical and electronic goods retailing ,27.3
1/02/2010,Tasmania ,"Hardware, building and garden supplies retailing ",33.4
1/02/2010,Tasmania ,Household goods retailing ,78.7
1/02/2010,Tasmania ,Clothing retailing ,13.8
1/02/2010,Tasmania ,Footwear and other personal accessory retailing ,6.7
1/02/2010,Tasmania ,"Clothing, footwear and personal accessory retailing ",20.5
1/02/2010,Tasmania ,Newspaper and book retailing ,16.4
1/02/2010,Tasmania ,Other recreational goods retailing ,6.3
1/02/2010,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",24.0
1/02/2010,Tasmania ,"Cafes, restaurants and catering services ",19.3
1/02/2010,Tasmania ,Takeaway food services ,20.8
1/02/2010,Tasmania ,"Cafes, restaurants and takeaway food services ",40.2
1/02/2010,Northern Territory ,Supermarket and grocery stores ,78.9
1/02/2010,Northern Territory ,Food retailing ,83.4
1/02/2010,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",7.8
1/02/2010,Northern Territory ,Electrical and electronic goods retailing ,13.3
1/02/2010,Northern Territory ,"Hardware, building and garden supplies retailing ",15.6
1/02/2010,Northern Territory ,Household goods retailing ,36.7
1/02/2010,Northern Territory ,Clothing retailing ,5.4
1/02/2010,Northern Territory ,Footwear and other personal accessory retailing ,3.8
1/02/2010,Northern Territory ,"Clothing, footwear and personal accessory retailing ",9.2
1/02/2010,Northern Territory ,Newspaper and book retailing ,1.7
1/02/2010,Northern Territory ,Other recreational goods retailing ,5.0
1/02/2010,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",6.5
1/02/2010,Northern Territory ,"Cafes, restaurants and catering services ",13.3
1/02/2010,Northern Territory ,Takeaway food services ,14.0
1/02/2010,Northern Territory ,"Cafes, restaurants and takeaway food services ",27.3
1/02/2010,Australian Capital Territory ,Supermarket and grocery stores ,112.9
1/02/2010,Australian Capital Territory ,Liquor retailing ,10.4
1/02/2010,Australian Capital Territory ,Other specialised food retailing ,15.7
1/02/2010,Australian Capital Territory ,Food retailing ,139.0
1/02/2010,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",17.0
1/02/2010,Australian Capital Territory ,Electrical and electronic goods retailing ,27.9
1/02/2010,Australian Capital Territory ,"Hardware, building and garden supplies retailing ",17.6
1/02/2010,Australian Capital Territory ,Household goods retailing ,62.5
1/02/2010,Australian Capital Territory ,Clothing retailing ,15.2
1/02/2010,Australian Capital Territory ,Footwear and other personal accessory retailing ,8.9
1/02/2010,Australian Capital Territory ,"Clothing, footwear and personal accessory retailing ",24.2
1/02/2010,Australian Capital Territory ,Department stores ,23.8
1/02/2010,Australian Capital Territory ,Newspaper and book retailing ,11.2
1/02/2010,Australian Capital Territory ,Other recreational goods retailing ,8.1
1/02/2010,Australian Capital Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",11.9
1/02/2010,Australian Capital Territory ,Other retailing n.e.c. ,7.0
1/02/2010,Australian Capital Territory ,Other retailing ,38.3
1/02/2010,Australian Capital Territory ,"Cafes, restaurants and catering services ",31.4
1/02/2010,Australian Capital Territory ,Takeaway food services ,14.2
1/02/2010,Australian Capital Territory ,"Cafes, restaurants and takeaway food services ",45.6
1/03/2010,New South Wales ,Supermarket and grocery stores ,2017.7
1/03/2010,New South Wales ,Liquor retailing ,222.6
1/03/2010,New South Wales ,Other specialised food retailing ,229.6
1/03/2010,New South Wales ,Food retailing ,2469.8
1/03/2010,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",288.8
1/03/2010,New South Wales ,Electrical and electronic goods retailing ,428.7
1/03/2010,New South Wales ,"Hardware, building and garden supplies retailing ",311.1
1/03/2010,New South Wales ,Household goods retailing ,1028.6
1/03/2010,New South Wales ,Clothing retailing ,301.4
1/03/2010,New South Wales ,Footwear and other personal accessory retailing ,192.4
1/03/2010,New South Wales ,"Clothing, footwear and personal accessory retailing ",493.8
1/03/2010,New South Wales ,Department stores ,443.7
1/03/2010,New South Wales ,Newspaper and book retailing ,113.6
1/03/2010,New South Wales ,Other recreational goods retailing ,88.2
1/03/2010,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",297.7
1/03/2010,New South Wales ,Other retailing n.e.c. ,267.5
1/03/2010,New South Wales ,Other retailing ,767.0
1/03/2010,New South Wales ,"Cafes, restaurants and catering services ",468.0
1/03/2010,New South Wales ,Takeaway food services ,367.7
1/03/2010,New South Wales ,"Cafes, restaurants and takeaway food services ",835.6
1/03/2010,Victoria ,Supermarket and grocery stores ,1617.9
1/03/2010,Victoria ,Liquor retailing ,138.3
1/03/2010,Victoria ,Other specialised food retailing ,170.6
1/03/2010,Victoria ,Food retailing ,1926.8
1/03/2010,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",236.4
1/03/2010,Victoria ,Electrical and electronic goods retailing ,337.3
1/03/2010,Victoria ,"Hardware, building and garden supplies retailing ",241.0
1/03/2010,Victoria ,Household goods retailing ,814.8
1/03/2010,Victoria ,Clothing retailing ,281.4
1/03/2010,Victoria ,Footwear and other personal accessory retailing ,144.0
1/03/2010,Victoria ,"Clothing, footwear and personal accessory retailing ",425.5
1/03/2010,Victoria ,Department stores ,329.3
1/03/2010,Victoria ,Newspaper and book retailing ,74.2
1/03/2010,Victoria ,Other recreational goods retailing ,84.2
1/03/2010,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",282.9
1/03/2010,Victoria ,Other retailing n.e.c. ,277.0
1/03/2010,Victoria ,Other retailing ,718.3
1/03/2010,Victoria ,"Cafes, restaurants and catering services ",392.2
1/03/2010,Victoria ,Takeaway food services ,312.0
1/03/2010,Victoria ,"Cafes, restaurants and takeaway food services ",704.2
1/03/2010,Queensland ,Supermarket and grocery stores ,1441.0
1/03/2010,Queensland ,Food retailing ,1694.6
1/03/2010,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",164.7
1/03/2010,Queensland ,Electrical and electronic goods retailing ,292.7
1/03/2010,Queensland ,"Hardware, building and garden supplies retailing ",196.4
1/03/2010,Queensland ,Household goods retailing ,653.7
1/03/2010,Queensland ,Clothing retailing ,151.7
1/03/2010,Queensland ,Footwear and other personal accessory retailing ,78.0
1/03/2010,Queensland ,"Clothing, footwear and personal accessory retailing ",229.7
1/03/2010,Queensland ,Department stores ,267.6
1/03/2010,Queensland ,Newspaper and book retailing ,92.0
1/03/2010,Queensland ,Other recreational goods retailing ,88.8
1/03/2010,Queensland ,"Pharmaceutical, cosmetic and toiletry goods retailing ",230.0
1/03/2010,Queensland ,Other retailing n.e.c. ,184.6
1/03/2010,Queensland ,Other retailing ,595.4
1/03/2010,Queensland ,"Cafes, restaurants and catering services ",262.3
1/03/2010,Queensland ,Takeaway food services ,221.7
1/03/2010,Queensland ,"Cafes, restaurants and takeaway food services ",484.0
1/03/2010,South Australia ,Supermarket and grocery stores ,495.4
1/03/2010,South Australia ,Liquor retailing ,40.0
1/03/2010,South Australia ,Other specialised food retailing ,54.6
1/03/2010,South Australia ,Food retailing ,590.0
1/03/2010,South Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",67.5
1/03/2010,South Australia ,Electrical and electronic goods retailing ,109.0
1/03/2010,South Australia ,"Hardware, building and garden supplies retailing ",85.7
1/03/2010,South Australia ,Household goods retailing ,262.2
1/03/2010,South Australia ,Clothing retailing ,74.4
1/03/2010,South Australia ,Footwear and other personal accessory retailing ,31.3
1/03/2010,South Australia ,"Clothing, footwear and personal accessory retailing ",105.8
1/03/2010,South Australia ,Department stores ,114.6
1/03/2010,South Australia ,Newspaper and book retailing ,30.6
1/03/2010,South Australia ,Other recreational goods retailing ,23.8
1/03/2010,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",96.0
1/03/2010,South Australia ,Other retailing n.e.c. ,63.8
1/03/2010,South Australia ,Other retailing ,214.2
1/03/2010,South Australia ,"Cafes, restaurants and catering services ",92.4
1/03/2010,South Australia ,Takeaway food services ,61.5
1/03/2010,South Australia ,"Cafes, restaurants and takeaway food services ",153.9
1/03/2010,Western Australia ,Supermarket and grocery stores ,733.1
1/03/2010,Western Australia ,Liquor retailing ,101.9
1/03/2010,Western Australia ,Other specialised food retailing ,66.0
1/03/2010,Western Australia ,Food retailing ,901.0
1/03/2010,Western Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",102.8
1/03/2010,Western Australia ,Electrical and electronic goods retailing ,157.8
1/03/2010,Western Australia ,"Hardware, building and garden supplies retailing ",102.5
1/03/2010,Western Australia ,Household goods retailing ,363.1
1/03/2010,Western Australia ,Clothing retailing ,75.2
1/03/2010,Western Australia ,Footwear and other personal accessory retailing ,61.1
1/03/2010,Western Australia ,"Clothing, footwear and personal accessory retailing ",136.2
1/03/2010,Western Australia ,Department stores ,152.7
1/03/2010,Western Australia ,Newspaper and book retailing ,34.2
1/03/2010,Western Australia ,Other recreational goods retailing ,54.0
1/03/2010,Western Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",107.1
1/03/2010,Western Australia ,Other retailing n.e.c. ,81.0
1/03/2010,Western Australia ,Other retailing ,276.3
1/03/2010,Western Australia ,"Cafes, restaurants and catering services ",188.2
1/03/2010,Western Australia ,Takeaway food services ,118.3
1/03/2010,Western Australia ,"Cafes, restaurants and takeaway food services ",306.5
1/03/2010,Tasmania ,Supermarket and grocery stores ,157.9
1/03/2010,Tasmania ,Food retailing ,188.4
1/03/2010,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",19.5
1/03/2010,Tasmania ,Electrical and electronic goods retailing ,31.4
1/03/2010,Tasmania ,"Hardware, building and garden supplies retailing ",35.8
1/03/2010,Tasmania ,Household goods retailing ,86.7
1/03/2010,Tasmania ,Clothing retailing ,16.3
1/03/2010,Tasmania ,Footwear and other personal accessory retailing ,6.8
1/03/2010,Tasmania ,"Clothing, footwear and personal accessory retailing ",23.2
1/03/2010,Tasmania ,Newspaper and book retailing ,14.2
1/03/2010,Tasmania ,Other recreational goods retailing ,7.3
1/03/2010,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",27.7
1/03/2010,Tasmania ,"Cafes, restaurants and catering services ",19.5
1/03/2010,Tasmania ,Takeaway food services ,21.9
1/03/2010,Tasmania ,"Cafes, restaurants and takeaway food services ",41.5
1/03/2010,Northern Territory ,Supermarket and grocery stores ,89.1
1/03/2010,Northern Territory ,Food retailing ,94.0
1/03/2010,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",9.0
1/03/2010,Northern Territory ,Electrical and electronic goods retailing ,14.5
1/03/2010,Northern Territory ,"Hardware, building and garden supplies retailing ",18.4
1/03/2010,Northern Territory ,Household goods retailing ,41.8
1/03/2010,Northern Territory ,Clothing retailing ,6.1
1/03/2010,Northern Territory ,Footwear and other personal accessory retailing ,3.8
1/03/2010,Northern Territory ,"Clothing, footwear and personal accessory retailing ",9.9
1/03/2010,Northern Territory ,Newspaper and book retailing ,1.7
1/03/2010,Northern Territory ,Other recreational goods retailing ,6.5
1/03/2010,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",8.7
1/03/2010,Northern Territory ,"Cafes, restaurants and catering services ",14.5
1/03/2010,Northern Territory ,Takeaway food services ,15.9
1/03/2010,Northern Territory ,"Cafes, restaurants and takeaway food services ",30.4
1/03/2010,Australian Capital Territory ,Supermarket and grocery stores ,124.1
1/03/2010,Australian Capital Territory ,Liquor retailing ,11.6
1/03/2010,Australian Capital Territory ,Other specialised food retailing ,17.7
1/03/2010,Australian Capital Territory ,Food retailing ,153.4
1/03/2010,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",18.2
1/03/2010,Australian Capital Territory ,Electrical and electronic goods retailing ,31.7
