reporting_date,state,industry,turnover_millions
1/09/2011,South Australia ,Department stores ,103.7
1/09/2011,South Australia ,Newspaper and book retailing ,20.0
1/09/2011,South Australia ,Other recreational goods retailing ,20.3
1/09/2011,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",99.4
1/09/2011,South Australia ,Other retailing n.e.c. ,69.6
1/09/2011,South Australia ,Other retailing ,209.4
1/09/2011,South Australia ,"Cafes, restaurants and catering services ",72.3
1/09/2011,South Australia ,Takeaway food services ,69.4
1/09/2011,South Australia ,"Cafes, restaurants and takeaway food services ",141.7
1/09/2011,Western Australia ,Supermarket and grocery stores ,784.9
1/09/2011,Western Australia ,Liquor retailing ,106.1
1/09/2011,Western Australia ,Other specialised food retailing ,67.3
1/09/2011,Western Australia ,Food retailing ,958.4
1/09/2011,Western Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",154.8
1/09/2011,Western Australia ,Electrical and electronic goods retailing ,162.4
1/09/2011,Western Australia ,"Hardware, building and garden supplies retailing ",119.1
1/09/2011,Western Australia ,Household goods retailing ,436.3
1/09/2011,Western Australia ,Clothing retailing ,83.6
1/09/2011,Western Australia ,Footwear and other personal accessory retailing ,55.4
1/09/2011,Western Australia ,"Clothing, footwear and personal accessory retailing ",139.0
1/09/2011,Western Australia ,Department stores ,154.5
1/09/2011,Western Australia ,Newspaper and book retailing ,21.3
1/09/2011,Western Australia ,Other recreational goods retailing ,51.3
1/09/2011,Western Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",128.4
1/09/2011,Western Australia ,Other retailing n.e.c. ,89.6
1/09/2011,Western Australia ,Other retailing ,290.7
1/09/2011,Western Australia ,"Cafes, restaurants and catering services ",238.6
1/09/2011,Western Australia ,Takeaway food services ,128.8
1/09/2011,Western Australia ,"Cafes, restaurants and takeaway food services ",367.4
1/09/2011,Tasmania ,Supermarket and grocery stores ,147.9
1/09/2011,Tasmania ,Liquor retailing ,12.6
1/09/2011,Tasmania ,Other specialised food retailing ,12.3
1/09/2011,Tasmania ,Food retailing ,172.8
1/09/2011,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",25.8
1/09/2011,Tasmania ,Electrical and electronic goods retailing ,27.8
1/09/2011,Tasmania ,"Hardware, building and garden supplies retailing ",27.1
1/09/2011,Tasmania ,Household goods retailing ,80.7
1/09/2011,Tasmania ,Clothing retailing ,22.3
1/09/2011,Tasmania ,Footwear and other personal accessory retailing ,5.1
1/09/2011,Tasmania ,"Clothing, footwear and personal accessory retailing ",27.4
1/09/2011,Tasmania ,Newspaper and book retailing ,10.4
1/09/2011,Tasmania ,Other recreational goods retailing ,8.0
1/09/2011,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",34.3
1/09/2011,Tasmania ,"Cafes, restaurants and catering services ",17.2
1/09/2011,Tasmania ,Takeaway food services ,26.9
1/09/2011,Tasmania ,"Cafes, restaurants and takeaway food services ",44.1
1/09/2011,Northern Territory ,Supermarket and grocery stores ,93.3
1/09/2011,Northern Territory ,Food retailing ,98.7
1/09/2011,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",8.1
1/09/2011,Northern Territory ,Electrical and electronic goods retailing ,18.4
1/09/2011,Northern Territory ,"Hardware, building and garden supplies retailing ",19.8
1/09/2011,Northern Territory ,Household goods retailing ,46.3
1/09/2011,Northern Territory ,Clothing retailing ,7.6
1/09/2011,Northern Territory ,Footwear and other personal accessory retailing ,4.9
1/09/2011,Northern Territory ,"Clothing, footwear and personal accessory retailing ",12.6
1/09/2011,Northern Territory ,Newspaper and book retailing ,2.8
1/09/2011,Northern Territory ,Other recreational goods retailing ,5.5
1/09/2011,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",4.8
1/09/2011,Northern Territory ,"Cafes, restaurants and catering services ",22.7
1/09/2011,Northern Territory ,Takeaway food services ,21.7
1/09/2011,Northern Territory ,"Cafes, restaurants and takeaway food services ",44.4
1/09/2011,Australian Capital Territory ,Supermarket and grocery stores ,136.7
1/09/2011,Australian Capital Territory ,Liquor retailing ,11.5
1/09/2011,Australian Capital Territory ,Other specialised food retailing ,12.7
1/09/2011,Australian Capital Territory ,Food retailing ,160.9
1/09/2011,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",22.3
1/09/2011,Australian Capital Territory ,Electrical and electronic goods retailing ,27.1
1/09/2011,Australian Capital Territory ,"Hardware, building and garden supplies retailing ",24.3
1/09/2011,Australian Capital Territory ,Household goods retailing ,73.7
1/09/2011,Australian Capital Territory ,Clothing retailing ,16.4
1/09/2011,Australian Capital Territory ,Footwear and other personal accessory retailing ,8.7
1/09/2011,Australian Capital Territory ,"Clothing, footwear and personal accessory retailing ",25.2
1/09/2011,Australian Capital Territory ,Department stores ,28.2
1/09/2011,Australian Capital Territory ,Newspaper and book retailing ,4.8
1/09/2011,Australian Capital Territory ,Other recreational goods retailing ,10.1
1/09/2011,Australian Capital Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",11.6
1/09/2011,Australian Capital Territory ,Other retailing n.e.c. ,10.4
1/09/2011,Australian Capital Territory ,Other retailing ,36.8
1/09/2011,Australian Capital Territory ,"Cafes, restaurants and catering services ",25.8
1/09/2011,Australian Capital Territory ,Takeaway food services ,19.1
1/09/2011,Australian Capital Territory ,"Cafes, restaurants and takeaway food services ",44.9
1/10/2011,New South Wales ,Supermarket and grocery stores ,2168.9
1/10/2011,New South Wales ,Liquor retailing ,264.3
1/10/2011,New South Wales ,Other specialised food retailing ,197.6
1/10/2011,New South Wales ,Food retailing ,2630.8
1/10/2011,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",326.6
1/10/2011,New South Wales ,Electrical and electronic goods retailing ,418.6
1/10/2011,New South Wales ,"Hardware, building and garden supplies retailing ",401.1
1/10/2011,New South Wales ,Household goods retailing ,1146.3
1/10/2011,New South Wales ,Clothing retailing ,330.0
1/10/2011,New South Wales ,Footwear and other personal accessory retailing ,164.9
1/10/2011,New South Wales ,"Clothing, footwear and personal accessory retailing ",494.9
1/10/2011,New South Wales ,Department stores ,444.9
1/10/2011,New South Wales ,Newspaper and book retailing ,128.8
1/10/2011,New South Wales ,Other recreational goods retailing ,107.4
1/10/2011,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",329.7
1/10/2011,New South Wales ,Other retailing n.e.c. ,308.6
1/10/2011,New South Wales ,Other retailing ,874.5
1/10/2011,New South Wales ,"Cafes, restaurants and catering services ",546.9
1/10/2011,New South Wales ,Takeaway food services ,344.6
1/10/2011,New South Wales ,"Cafes, restaurants and takeaway food services ",891.5
1/10/2011,Victoria ,Supermarket and grocery stores ,1731.3
1/10/2011,Victoria ,Liquor retailing ,161.3
1/10/2011,Victoria ,Other specialised food retailing ,169.0
1/10/2011,Victoria ,Food retailing ,2061.5
1/10/2011,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",263.8
1/10/2011,Victoria ,Electrical and electronic goods retailing ,367.6
1/10/2011,Victoria ,"Hardware, building and garden supplies retailing ",354.1
1/10/2011,Victoria ,Household goods retailing ,985.5
1/10/2011,Victoria ,Clothing retailing ,289.0
1/10/2011,Victoria ,Footwear and other personal accessory retailing ,170.6
1/10/2011,Victoria ,"Clothing, footwear and personal accessory retailing ",459.6
1/10/2011,Victoria ,Department stores ,332.8
1/10/2011,Victoria ,Newspaper and book retailing ,79.3
1/10/2011,Victoria ,Other recreational goods retailing ,86.0
1/10/2011,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",316.8
1/10/2011,Victoria ,Other retailing n.e.c. ,374.7
1/10/2011,Victoria ,Other retailing ,856.8
1/10/2011,Victoria ,"Cafes, restaurants and catering services ",369.8
1/10/2011,Victoria ,Takeaway food services ,312.4
1/10/2011,Victoria ,"Cafes, restaurants and takeaway food services ",682.1
1/10/2011,Queensland ,Supermarket and grocery stores ,1525.4
1/10/2011,Queensland ,Food retailing ,1878.1
1/10/2011,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",171.5
1/10/2011,Queensland ,Electrical and electronic goods retailing ,277.8
1/10/2011,Queensland ,"Hardware, building and garden supplies retailing ",235.2
1/10/2011,Queensland ,Household goods retailing ,684.5
1/10/2011,Queensland ,Clothing retailing ,204.8
1/10/2011,Queensland ,Footwear and other personal accessory retailing ,84.1
1/10/2011,Queensland ,"Clothing, footwear and personal accessory retailing ",288.9
1/10/2011,Queensland ,Department stores ,283.6
1/10/2011,Queensland ,Newspaper and book retailing ,68.5
1/10/2011,Queensland ,Other recreational goods retailing ,85.6
1/10/2011,Queensland ,"Pharmaceutical, cosmetic and toiletry goods retailing ",263.2
1/10/2011,Queensland ,Other retailing n.e.c. ,225.0
1/10/2011,Queensland ,Other retailing ,642.3
1/10/2011,Queensland ,"Cafes, restaurants and catering services ",296.7
1/10/2011,Queensland ,Takeaway food services ,257.7
1/10/2011,Queensland ,"Cafes, restaurants and takeaway food services ",554.4
1/10/2011,South Australia ,Supermarket and grocery stores ,524.5
1/10/2011,South Australia ,Liquor retailing ,41.0
1/10/2011,South Australia ,Other specialised food retailing ,52.0
1/10/2011,South Australia ,Food retailing ,617.5
1/10/2011,South Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",61.2
1/10/2011,South Australia ,Electrical and electronic goods retailing ,102.9
1/10/2011,South Australia ,"Hardware, building and garden supplies retailing ",94.4
1/10/2011,South Australia ,Household goods retailing ,258.5
1/10/2011,South Australia ,Clothing retailing ,65.2
1/10/2011,South Australia ,Footwear and other personal accessory retailing ,42.1
1/10/2011,South Australia ,"Clothing, footwear and personal accessory retailing ",107.3
1/10/2011,South Australia ,Department stores ,108.7
1/10/2011,South Australia ,Newspaper and book retailing ,22.4
1/10/2011,South Australia ,Other recreational goods retailing ,19.9
1/10/2011,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",96.1
1/10/2011,South Australia ,Other retailing n.e.c. ,69.7
1/10/2011,South Australia ,Other retailing ,208.1
1/10/2011,South Australia ,"Cafes, restaurants and catering services ",83.7
1/10/2011,South Australia ,Takeaway food services ,71.6
1/10/2011,South Australia ,"Cafes, restaurants and takeaway food services ",155.3
1/10/2011,Western Australia ,Supermarket and grocery stores ,797.6
1/10/2011,Western Australia ,Liquor retailing ,109.5
1/10/2011,Western Australia ,Other specialised food retailing ,57.8
1/10/2011,Western Australia ,Food retailing ,965.0
1/10/2011,Western Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",162.2
1/10/2011,Western Australia ,Electrical and electronic goods retailing ,181.9
1/10/2011,Western Australia ,"Hardware, building and garden supplies retailing ",150.4
1/10/2011,Western Australia ,Household goods retailing ,494.5
1/10/2011,Western Australia ,Clothing retailing ,93.1
1/10/2011,Western Australia ,Footwear and other personal accessory retailing ,59.0
1/10/2011,Western Australia ,"Clothing, footwear and personal accessory retailing ",152.1
1/10/2011,Western Australia ,Department stores ,165.4
1/10/2011,Western Australia ,Newspaper and book retailing ,23.3
1/10/2011,Western Australia ,Other recreational goods retailing ,52.3
1/10/2011,Western Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",116.4
1/10/2011,Western Australia ,Other retailing n.e.c. ,112.5
1/10/2011,Western Australia ,Other retailing ,304.5
1/10/2011,Western Australia ,"Cafes, restaurants and catering services ",256.4
1/10/2011,Western Australia ,Takeaway food services ,137.7
1/10/2011,Western Australia ,"Cafes, restaurants and takeaway food services ",394.1
1/10/2011,Tasmania ,Supermarket and grocery stores ,154.4
1/10/2011,Tasmania ,Liquor retailing ,13.1
1/10/2011,Tasmania ,Other specialised food retailing ,16.1
1/10/2011,Tasmania ,Food retailing ,183.5
1/10/2011,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",21.4
1/10/2011,Tasmania ,Electrical and electronic goods retailing ,26.2
1/10/2011,Tasmania ,"Hardware, building and garden supplies retailing ",28.5
1/10/2011,Tasmania ,Household goods retailing ,76.2
1/10/2011,Tasmania ,Clothing retailing ,21.0
1/10/2011,Tasmania ,Footwear and other personal accessory retailing ,5.1
1/10/2011,Tasmania ,"Clothing, footwear and personal accessory retailing ",26.0
1/10/2011,Tasmania ,Newspaper and book retailing ,11.0
1/10/2011,Tasmania ,Other recreational goods retailing ,9.6
1/10/2011,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",37.6
1/10/2011,Tasmania ,"Cafes, restaurants and catering services ",19.9
1/10/2011,Tasmania ,Takeaway food services ,25.5
1/10/2011,Tasmania ,"Cafes, restaurants and takeaway food services ",45.4
1/10/2011,Northern Territory ,Supermarket and grocery stores ,93.5
1/10/2011,Northern Territory ,Food retailing ,99.1
1/10/2011,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",8.3
1/10/2011,Northern Territory ,Electrical and electronic goods retailing ,18.2
1/10/2011,Northern Territory ,"Hardware, building and garden supplies retailing ",18.8
1/10/2011,Northern Territory ,Household goods retailing ,45.4
1/10/2011,Northern Territory ,Clothing retailing ,7.4
1/10/2011,Northern Territory ,Footwear and other personal accessory retailing ,4.5
1/10/2011,Northern Territory ,"Clothing, footwear and personal accessory retailing ",11.9
1/10/2011,Northern Territory ,Newspaper and book retailing ,2.8
1/10/2011,Northern Territory ,Other recreational goods retailing ,5.0
1/10/2011,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",4.9
1/10/2011,Northern Territory ,"Cafes, restaurants and catering services ",22.8
1/10/2011,Northern Territory ,Takeaway food services ,23.6
1/10/2011,Northern Territory ,"Cafes, restaurants and takeaway food services ",46.4
1/10/2011,Australian Capital Territory ,Supermarket and grocery stores ,144.8
1/10/2011,Australian Capital Territory ,Liquor retailing ,11.8
1/10/2011,Australian Capital Territory ,Other specialised food retailing ,14.2
1/10/2011,Australian Capital Territory ,Food retailing ,170.8
1/10/2011,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",23.6
1/10/2011,Australian Capital Territory ,Electrical and electronic goods retailing ,27.0
1/10/2011,Australian Capital Territory ,"Hardware, building and garden supplies retailing ",27.6
1/10/2011,Australian Capital Territory ,Household goods retailing ,78.2
1/10/2011,Australian Capital Territory ,Clothing retailing ,16.9
1/10/2011,Australian Capital Territory ,Footwear and other personal accessory retailing ,9.0
1/10/2011,Australian Capital Territory ,"Clothing, footwear and personal accessory retailing ",25.9
1/10/2011,Australian Capital Territory ,Department stores ,29.1
1/10/2011,Australian Capital Territory ,Newspaper and book retailing ,4.5
1/10/2011,Australian Capital Territory ,Other recreational goods retailing ,9.6
1/10/2011,Australian Capital Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",11.5
1/10/2011,Australian Capital Territory ,Other retailing n.e.c. ,10.9
1/10/2011,Australian Capital Territory ,Other retailing ,36.6
1/10/2011,Australian Capital Territory ,"Cafes, restaurants and catering services ",26.6
1/10/2011,Australian Capital Territory ,Takeaway food services ,18.6
1/10/2011,Australian Capital Territory ,"Cafes, restaurants and takeaway food services ",45.2
1/11/2011,New South Wales ,Supermarket and grocery stores ,2128.7
1/11/2011,New South Wales ,Liquor retailing ,282.9
1/11/2011,New South Wales ,Other specialised food retailing ,201.4
1/11/2011,New South Wales ,Food retailing ,2613.0
1/11/2011,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",354.8
1/11/2011,New South Wales ,Electrical and electronic goods retailing ,455.5
1/11/2011,New South Wales ,"Hardware, building and garden supplies retailing ",382.1
1/11/2011,New South Wales ,Household goods retailing ,1192.5
1/11/2011,New South Wales ,Clothing retailing ,354.5
1/11/2011,New South Wales ,Footwear and other personal accessory retailing ,179.5
1/11/2011,New South Wales ,"Clothing, footwear and personal accessory retailing ",534.0
1/11/2011,New South Wales ,Department stores ,527.6
1/11/2011,New South Wales ,Newspaper and book retailing ,125.5
1/11/2011,New South Wales ,Other recreational goods retailing ,131.3
1/11/2011,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",343.8
1/11/2011,New South Wales ,Other retailing n.e.c. ,427.5
1/11/2011,New South Wales ,Other retailing ,1028.1
1/11/2011,New South Wales ,"Cafes, restaurants and catering services ",556.0
1/11/2011,New South Wales ,Takeaway food services ,330.0
1/11/2011,New South Wales ,"Cafes, restaurants and takeaway food services ",886.0
1/11/2011,Victoria ,Supermarket and grocery stores ,1727.5
1/11/2011,Victoria ,Liquor retailing ,172.6
1/11/2011,Victoria ,Other specialised food retailing ,169.6
1/11/2011,Victoria ,Food retailing ,2069.7
1/11/2011,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",267.0
1/11/2011,Victoria ,Electrical and electronic goods retailing ,389.1
1/11/2011,Victoria ,"Hardware, building and garden supplies retailing ",356.3
1/11/2011,Victoria ,Household goods retailing ,1012.4
1/11/2011,Victoria ,Clothing retailing ,287.6
1/11/2011,Victoria ,Footwear and other personal accessory retailing ,167.4
1/11/2011,Victoria ,"Clothing, footwear and personal accessory retailing ",455.1
1/11/2011,Victoria ,Department stores ,382.7
1/11/2011,Victoria ,Newspaper and book retailing ,86.2
1/11/2011,Victoria ,Other recreational goods retailing ,100.4
1/11/2011,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",318.6
1/11/2011,Victoria ,Other retailing n.e.c. ,407.0
1/11/2011,Victoria ,Other retailing ,912.2
1/11/2011,Victoria ,"Cafes, restaurants and catering services ",373.4
1/11/2011,Victoria ,Takeaway food services ,308.1
1/11/2011,Victoria ,"Cafes, restaurants and takeaway food services ",681.5
1/11/2011,Queensland ,Supermarket and grocery stores ,1488.9
1/11/2011,Queensland ,Food retailing ,1851.2
1/11/2011,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",177.4
1/11/2011,Queensland ,Electrical and electronic goods retailing ,301.4
1/11/2011,Queensland ,"Hardware, building and garden supplies retailing ",243.7
1/11/2011,Queensland ,Household goods retailing ,722.6
1/11/2011,Queensland ,Clothing retailing ,205.6
1/11/2011,Queensland ,Footwear and other personal accessory retailing ,90.3
1/11/2011,Queensland ,"Clothing, footwear and personal accessory retailing ",295.8
1/11/2011,Queensland ,Department stores ,339.3
1/11/2011,Queensland ,Newspaper and book retailing ,70.2
1/11/2011,Queensland ,Other recreational goods retailing ,104.6
1/11/2011,Queensland ,"Pharmaceutical, cosmetic and toiletry goods retailing ",259.3
1/11/2011,Queensland ,Other retailing n.e.c. ,252.8
1/11/2011,Queensland ,Other retailing ,686.8
1/11/2011,Queensland ,"Cafes, restaurants and catering services ",282.6
1/11/2011,Queensland ,Takeaway food services ,250.3
1/11/2011,Queensland ,"Cafes, restaurants and takeaway food services ",532.9
1/11/2011,South Australia ,Supermarket and grocery stores ,524.4
1/11/2011,South Australia ,Liquor retailing ,45.8
1/11/2011,South Australia ,Other specialised food retailing ,54.1
1/11/2011,South Australia ,Food retailing ,624.3
1/11/2011,South Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",60.7
1/11/2011,South Australia ,Electrical and electronic goods retailing ,110.0
1/11/2011,South Australia ,"Hardware, building and garden supplies retailing ",96.7
1/11/2011,South Australia ,Household goods retailing ,267.4
1/11/2011,South Australia ,Clothing retailing ,66.6
1/11/2011,South Australia ,Footwear and other personal accessory retailing ,43.0
1/11/2011,South Australia ,"Clothing, footwear and personal accessory retailing ",109.5
1/11/2011,South Australia ,Department stores ,133.9
1/11/2011,South Australia ,Newspaper and book retailing ,25.0
1/11/2011,South Australia ,Other recreational goods retailing ,24.9
1/11/2011,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",99.7
1/11/2011,South Australia ,Other retailing n.e.c. ,78.0
1/11/2011,South Australia ,Other retailing ,227.5
1/11/2011,South Australia ,"Cafes, restaurants and catering services ",84.8
1/11/2011,South Australia ,Takeaway food services ,68.5
1/11/2011,South Australia ,"Cafes, restaurants and takeaway food services ",153.3
1/11/2011,Western Australia ,Supermarket and grocery stores ,796.9
1/11/2011,Western Australia ,Liquor retailing ,114.4
1/11/2011,Western Australia ,Other specialised food retailing ,57.6
1/11/2011,Western Australia ,Food retailing ,969.0
1/11/2011,Western Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",179.7
1/11/2011,Western Australia ,Electrical and electronic goods retailing ,200.1
1/11/2011,Western Australia ,"Hardware, building and garden supplies retailing ",139.4
1/11/2011,Western Australia ,Household goods retailing ,519.1
1/11/2011,Western Australia ,Clothing retailing ,94.7
1/11/2011,Western Australia ,Footwear and other personal accessory retailing ,56.0
1/11/2011,Western Australia ,"Clothing, footwear and personal accessory retailing ",150.7
1/11/2011,Western Australia ,Department stores ,195.3
1/11/2011,Western Australia ,Newspaper and book retailing ,24.8
1/11/2011,Western Australia ,Other recreational goods retailing ,59.9
1/11/2011,Western Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",115.5
1/11/2011,Western Australia ,Other retailing n.e.c. ,117.8
1/11/2011,Western Australia ,Other retailing ,318.0
1/11/2011,Western Australia ,"Cafes, restaurants and catering services ",261.6
1/11/2011,Western Australia ,Takeaway food services ,133.7
1/11/2011,Western Australia ,"Cafes, restaurants and takeaway food services ",395.3
1/11/2011,Tasmania ,Supermarket and grocery stores ,152.8
1/11/2011,Tasmania ,Liquor retailing ,13.6
1/11/2011,Tasmania ,Other specialised food retailing ,16.8
1/11/2011,Tasmania ,Food retailing ,183.2
1/11/2011,Tasmania ,"Furniture, floor coverings, houseware and textile goods retailing ",27.2
1/11/2011,Tasmania ,Electrical and electronic goods retailing ,27.3
1/11/2011,Tasmania ,"Hardware, building and garden supplies retailing ",28.3
1/11/2011,Tasmania ,Household goods retailing ,82.8
1/11/2011,Tasmania ,Clothing retailing ,22.0
1/11/2011,Tasmania ,Footwear and other personal accessory retailing ,6.4
1/11/2011,Tasmania ,"Clothing, footwear and personal accessory retailing ",28.4
1/11/2011,Tasmania ,Newspaper and book retailing ,11.6
1/11/2011,Tasmania ,Other recreational goods retailing ,11.2
1/11/2011,Tasmania ,"Pharmaceutical, cosmetic and toiletry goods retailing ",38.9
1/11/2011,Tasmania ,"Cafes, restaurants and catering services ",20.0
1/11/2011,Tasmania ,Takeaway food services ,24.2
1/11/2011,Tasmania ,"Cafes, restaurants and takeaway food services ",44.2
1/11/2011,Northern Territory ,Supermarket and grocery stores ,86.6
1/11/2011,Northern Territory ,Food retailing ,91.6
1/11/2011,Northern Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",9.1
1/11/2011,Northern Territory ,Electrical and electronic goods retailing ,18.5
1/11/2011,Northern Territory ,"Hardware, building and garden supplies retailing ",17.9
1/11/2011,Northern Territory ,Household goods retailing ,45.5
1/11/2011,Northern Territory ,Clothing retailing ,6.6
1/11/2011,Northern Territory ,Footwear and other personal accessory retailing ,4.5
1/11/2011,Northern Territory ,"Clothing, footwear and personal accessory retailing ",11.1
1/11/2011,Northern Territory ,Newspaper and book retailing ,2.8
1/11/2011,Northern Territory ,Other recreational goods retailing ,5.2
1/11/2011,Northern Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",4.9
1/11/2011,Northern Territory ,"Cafes, restaurants and catering services ",24.3
1/11/2011,Northern Territory ,Takeaway food services ,22.3
1/11/2011,Northern Territory ,"Cafes, restaurants and takeaway food services ",46.6
1/11/2011,Australian Capital Territory ,Supermarket and grocery stores ,142.6
1/11/2011,Australian Capital Territory ,Liquor retailing ,13.1
1/11/2011,Australian Capital Territory ,Other specialised food retailing ,12.2
1/11/2011,Australian Capital Territory ,Food retailing ,167.9
1/11/2011,Australian Capital Territory ,"Furniture, floor coverings, houseware and textile goods retailing ",25.0
1/11/2011,Australian Capital Territory ,Electrical and electronic goods retailing ,27.8
1/11/2011,Australian Capital Territory ,"Hardware, building and garden supplies retailing ",25.7
1/11/2011,Australian Capital Territory ,Household goods retailing ,78.5
1/11/2011,Australian Capital Territory ,Clothing retailing ,17.9
1/11/2011,Australian Capital Territory ,Footwear and other personal accessory retailing ,9.4
1/11/2011,Australian Capital Territory ,"Clothing, footwear and personal accessory retailing ",27.3
1/11/2011,Australian Capital Territory ,Department stores ,33.0
1/11/2011,Australian Capital Territory ,Newspaper and book retailing ,5.0
1/11/2011,Australian Capital Territory ,Other recreational goods retailing ,12.3
1/11/2011,Australian Capital Territory ,"Pharmaceutical, cosmetic and toiletry goods retailing ",11.2
1/11/2011,Australian Capital Territory ,Other retailing n.e.c. ,11.6
1/11/2011,Australian Capital Territory ,Other retailing ,40.2
1/11/2011,Australian Capital Territory ,"Cafes, restaurants and catering services ",24.5
1/11/2011,Australian Capital Territory ,Takeaway food services ,19.8
1/11/2011,Australian Capital Territory ,"Cafes, restaurants and takeaway food services ",44.3
1/12/2011,New South Wales ,Supermarket and grocery stores ,2397.4
1/12/2011,New South Wales ,Liquor retailing ,409.6
1/12/2011,New South Wales ,Other specialised food retailing ,257.2
1/12/2011,New South Wales ,Food retailing ,3064.2
1/12/2011,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",403.1
1/12/2011,New South Wales ,Electrical and electronic goods retailing ,675.9
1/12/2011,New South Wales ,"Hardware, building and garden supplies retailing ",409.0
1/12/2011,New South Wales ,Household goods retailing ,1488.0
1/12/2011,New South Wales ,Clothing retailing ,547.4
1/12/2011,New South Wales ,Footwear and other personal accessory retailing ,323.1
1/12/2011,New South Wales ,"Clothing, footwear and personal accessory retailing ",870.6
1/12/2011,New South Wales ,Department stores ,873.5
1/12/2011,New South Wales ,Newspaper and book retailing ,164.1
1/12/2011,New South Wales ,Other recreational goods retailing ,209.3
1/12/2011,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",405.1
1/12/2011,New South Wales ,Other retailing n.e.c. ,463.9
1/12/2011,New South Wales ,Other retailing ,1242.3
1/12/2011,New South Wales ,"Cafes, restaurants and catering services ",617.6
1/12/2011,New South Wales ,Takeaway food services ,402.1
1/12/2011,New South Wales ,"Cafes, restaurants and takeaway food services ",1019.7
1/12/2011,Victoria ,Supermarket and grocery stores ,1942.8
1/12/2011,Victoria ,Liquor retailing ,260.8
1/12/2011,Victoria ,Other specialised food retailing ,200.4
1/12/2011,Victoria ,Food retailing ,2404.0
1/12/2011,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",325.1
1/12/2011,Victoria ,Electrical and electronic goods retailing ,575.9
1/12/2011,Victoria ,"Hardware, building and garden supplies retailing ",389.2
1/12/2011,Victoria ,Household goods retailing ,1290.2
1/12/2011,Victoria ,Clothing retailing ,456.3
1/12/2011,Victoria ,Footwear and other personal accessory retailing ,272.9
1/12/2011,Victoria ,"Clothing, footwear and personal accessory retailing ",729.2
1/12/2011,Victoria ,Department stores ,648.9
1/12/2011,Victoria ,Newspaper and book retailing ,135.4
1/12/2011,Victoria ,Other recreational goods retailing ,165.4
1/12/2011,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",402.4
1/12/2011,Victoria ,Other retailing n.e.c. ,582.7
1/12/2011,Victoria ,Other retailing ,1285.9
1/12/2011,Victoria ,"Cafes, restaurants and catering services ",422.5
1/12/2011,Victoria ,Takeaway food services ,339.0
1/12/2011,Victoria ,"Cafes, restaurants and takeaway food services ",761.4
1/12/2011,Queensland ,Supermarket and grocery stores ,1614.3
1/12/2011,Queensland ,Food retailing ,2086.4
1/12/2011,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",208.9
1/12/2011,Queensland ,Electrical and electronic goods retailing ,444.4
1/12/2011,Queensland ,"Hardware, building and garden supplies retailing ",256.1
1/12/2011,Queensland ,Household goods retailing ,909.4
1/12/2011,Queensland ,Clothing retailing ,303.8
1/12/2011,Queensland ,Footwear and other personal accessory retailing ,165.8
1/12/2011,Queensland ,"Clothing, footwear and personal accessory retailing ",469.6
1/12/2011,Queensland ,Department stores ,543.9
1/12/2011,Queensland ,Newspaper and book retailing ,91.2
1/12/2011,Queensland ,Other recreational goods retailing ,166.4
